"","subject","age_months","gender","outcome_order","domain","task","expected","unexpected","diff_log"
"162",30,17.4,"male","exp_first","physical","support",2.25339484880327,1.99605993274078,-0.257334916062489
"163",30,17.4,"male","exp_first","social","drink",1.7864047040904,1.7493164117183,-0.0370882923720932
"164",30,17.4,"male","exp_first","social","fairness",2.81429528116977,2.12907416588225,-0.685221115287525
"165",30,17.4,"male","exp_first","social","reach",3.20378933183482,3.40119738166216,0.197408049827335
"166",31,16.2,"male","unexp_first","physical","continuity",3.13816444448503,2.24070968927596,-0.89745475520907
"167",31,16.2,"male","unexp_first","physical","support",3.1072736482869,3.22525543183224,0.117981783545341
"168",31,16.2,"male","unexp_first","social","fairness",2.88346497168291,3.09465618947328,0.211191217790369
"169",31,16.2,"male","unexp_first","social","reach",3.20378933183482,3.11841182466903,-0.0853775071657918
"170",32,22,"male","unexp_first","physical","containment",3.22207071576472,3.03879176301444,-0.183278952750282
"171",32,22,"male","unexp_first","physical","continuity",2.66432739008838,3.24726889936942,0.58294150928104
"172",32,22,"male","unexp_first","physical","solidity",2.46603816548362,2.60417007061482,0.1381319051312
"173",32,22,"male","unexp_first","physical","support",2.62756295018952,2.71336936257981,0.0858064123902866
"174",32,22,"male","unexp_first","social","drink",3.15407024537679,3.11797363135209,-0.0360966140247072
"175",32,22,"male","unexp_first","social","fairness",3.10065021341349,3.14925064226312,0.0486004288496331
"176",32,22,"male","unexp_first","social","reach",3.02990116916924,3.0017382976142,-0.0281628715550379
"177",32,22,"male","unexp_first","social","snack",3.11262602502549,2.92664403227058,-0.185981992754908
"178",33,19.4,"female","exp_first","physical","containment",2.93810316071735,2.63044895507866,-0.307654205638696
"179",33,19.4,"female","exp_first","social","drink",2.23777951350264,2.94767910315347,0.709899589650834
"180",33,19.4,"female","exp_first","social","fairness",3.21355194361545,2.55193101670228,-0.661620926913172
"181",34,23.5,"male","exp_first","physical","containment",3.37142522332849,3.34638914516716,-0.025036078161325
"182",34,23.5,"male","exp_first","physical","continuity",3.36996605854235,2.45787797740008,-0.912088081142272
"183",34,23.5,"male","exp_first","physical","solidity",3.39045902344102,3.01357219168232,-0.376886831758701
"184",34,23.5,"male","exp_first","social","drink",3.40119738166216,3.35173675149376,-0.0494606301684
"185",34,23.5,"male","exp_first","social","fairness",3.40119738166216,2.95047568196587,-0.450721699696285
"186",34,23.5,"male","exp_first","social","reach",2.95758050758961,2.78654707449049,-0.171033433099127
"187",35,21.4,"male","unexp_first","physical","solidity",2.65175531127871,3.08922261664133,0.437467305362619
"188",35,21.4,"male","unexp_first","physical","support",2.26592110862245,2.98365969231972,0.717738583697268
"189",35,21.4,"male","unexp_first","social","drink",2.74603774176338,3.17166618045612,0.425628438692738
"190",35,21.4,"male","unexp_first","social","reach",2.39326619887264,3.09505047475585,0.701784275883217
"191",35,21.4,"male","unexp_first","social","snack",2.8402473707136,3.31333602587082,0.473088655157225
"192",36,24.1,"male","unexp_first","physical","containment",2.84490938381941,3.25501487148407,0.410105487664667
"193",36,24.1,"male","unexp_first","physical","continuity",3.13118361334369,3.27487801498349,0.143694401639797
"194",36,24.1,"male","unexp_first","physical","solidity",1.88232482596913,3.17136484219715,1.28904001622801
"195",36,24.1,"male","unexp_first","physical","support",1.75785791755237,2.22786154679811,0.470003629245736
"196",36,24.1,"male","unexp_first","social","drink",2.82032931806707,3.30118447233092,0.480855154263851
"197",36,24.1,"male","unexp_first","social","fairness",3.35902245661144,3.18649889614374,-0.172523560467702
"198",36,24.1,"male","unexp_first","social","reach",3.18736860162249,3.17201151589198,-0.0153570857305101
"199",36,24.1,"male","unexp_first","social","snack",2.13298230860787,3.30895325771573,1.17597094910786
"200",37,20,"male","exp_first","physical","continuity",2.17742195004004,2.31451366385932,0.13709171381928
"201",37,20,"male","exp_first","physical","solidity",2.82271310942235,2.98971420122843,0.167001091806078
"202",37,20,"male","exp_first","social","drink",3.40119738166216,2.98698095550108,-0.414216426161071
"203",37,20,"male","exp_first","social","fairness",3.06619898465924,2.05819982629559,-1.00799915836365
"204",37,20,"male","exp_first","social","reach",2.93439717213396,3.11128166968444,0.17688449755048
"205",37,20,"male","exp_first","social","snack",3.30615383297526,3.32637024370973,0.0202164107344669
"206",38,18.8,"female","exp_first","physical","containment",3.37826987701845,2.74212951475507,-0.636140362263378
"207",38,18.8,"female","exp_first","physical","continuity",3.1536953865159,3.23946245847659,0.0857670719606842
"208",38,18.8,"female","exp_first","physical","solidity",3.20570536167846,3.16631857412952,-0.0393867875489309
"209",38,18.8,"female","exp_first","social","drink",3.21539849088412,3.20483671739461,-0.0105617734895094
"210",38,18.8,"female","exp_first","social","fairness",3.40119738166216,3.38633826725841,-0.01485911440375
"211",38,18.8,"female","exp_first","social","reach",3.11173118741687,3.27129298547343,0.159561798056554
"212",39,15.4,"male","unexp_first","physical","continuity",2.86143664703671,2.54944517092557,-0.311991476111141
"213",39,15.4,"male","unexp_first","physical","solidity",2.83689774441431,2.53686638871871,-0.300031355695595
"214",39,15.4,"male","unexp_first","physical","support",2.95073490762325,3.40119738166216,0.4504624740389
"215",39,15.4,"male","unexp_first","social","drink",3.06285423710513,3.27110701709365,0.208252779988516
"216",39,15.4,"male","unexp_first","social","snack",3.36453339729056,3.40119738166216,0.0366639843715917
"217",41,22.4,"male","exp_first","physical","containment",3.18800416120111,2.84490938381941,-0.343094777381706
"218",41,22.4,"male","exp_first","physical","continuity",2.76014531298561,2.88814706287405,0.128001749888441
"219",41,22.4,"male","exp_first","physical","solidity",3.09600644442203,2.64191039859767,-0.454096045824366
"220",41,22.4,"male","exp_first","physical","support",2.87694873756402,2.89037175789616,0.0134230203321408
"221",41,22.4,"male","exp_first","social","drink",2.92234295037119,3.3275017806483,0.405158830277107
"222",41,22.4,"male","exp_first","social","fairness",3.06825871762225,3.182835888385,0.11457717076275
"223",41,22.4,"male","exp_first","social","reach",2.93012366135658,3.09140748347735,0.161283822120778
"224",41,22.4,"male","exp_first","social","snack",3.40119738166216,3.14892884587637,-0.252268535785782
"225",42,24.4,"female","exp_first","physical","containment",3.12851338478781,2.73954886816158,-0.388964516626229
"226",42,24.4,"female","exp_first","physical","continuity",3.10994387684278,3.09467222140889,-0.015271655433883
"227",42,24.4,"female","exp_first","physical","solidity",2.59060088812538,2.8724340572095,0.281833169084118
"228",42,24.4,"female","exp_first","physical","support",3.34920208654377,3.21727454350123,-0.131927543042548
"229",42,24.4,"female","exp_first","social","drink",3.0382084398983,3.10724007570898,0.0690316358106742
"230",42,24.4,"female","exp_first","social","fairness",3.40119738166216,3.40119738166216,0
"231",42,24.4,"female","exp_first","social","reach",3.35327582410197,3.27737203154981,-0.0759037925521651
"232",42,24.4,"female","exp_first","social","snack",2.73176672771953,3.26556574960213,0.533799021882609
"233",43,20,"male","unexp_first","physical","continuity",3.04528608800872,2.18829594659192,-0.856990141416802
"234",43,20,"male","unexp_first","physical","solidity",2.56320191393727,2.62466859216316,0.0614666782258939
"235",43,20,"male","unexp_first","physical","support",1.89911798754855,2.93810316071735,1.0389851731688
"236",43,20,"male","unexp_first","social","drink",2.73049338732558,3.01695322903688,0.286459841711295
"237",43,20,"male","unexp_first","social","snack",2.75747508442973,2.90932758225912,0.151852497829388
"238",44,23,"female","unexp_first","physical","containment",2.71866038021423,2.46470394247048,-0.253956437743744
"239",44,23,"female","unexp_first","physical","continuity",2.9964004994392,2.84954976337591,-0.146850736063287
"240",44,23,"female","unexp_first","physical","solidity",3.05910188748658,3.04832472367316,-0.0107771638134189
"241",44,23,"female","unexp_first","physical","support",2.43361335540045,3.10189246938238,0.668279113981932
"242",44,23,"female","unexp_first","social","drink",3.28674657168158,3.05367232999976,-0.233074241681825
"243",44,23,"female","unexp_first","social","reach",3.0937126819142,3.22288384626574,0.129171164351545
"244",44,23,"female","unexp_first","social","snack",3.24882290123615,3.21860876651436,-0.0302141347217892
"245",45,20,"male","exp_first","physical","containment",2.77757626375082,3.03302805829769,0.255451794546867
"246",45,20,"male","exp_first","physical","solidity",2.92878765581383,3.14242665270479,0.213638996890961
"247",45,20,"male","exp_first","physical","support",3.1646308100158,2.3494686788929,-0.815162131122909
"248",45,20,"male","exp_first","social","drink",3.19466156674761,2.99304770818332,-0.201613858564284
"249",45,20,"male","exp_first","social","fairness",3.36362722299819,3.29688453503677,-0.0667426879614181
"250",47,15.8,"male","unexp_first","physical","continuity",1.8589682189215,2.51122395810537,0.652255739183869
"251",47,15.8,"male","unexp_first","physical","support",2.05412373369555,2.59525470695687,0.541130973261319
"252",47,15.8,"male","unexp_first","social","drink",2.69596140378321,3.15465896780889,0.458697564025681
"253",47,15.8,"male","unexp_first","social","fairness",2.48416891460146,2.35011023485689,-0.13405867974457
"254",47,15.8,"male","unexp_first","social","snack",2.92316158071916,3.37960410003159,0.456442519312432
"255",49,19.2,"female","exp_first","physical","solidity",2.91368488762808,2.54002594900908,-0.373658938618997
"256",49,19.2,"female","exp_first","social","fairness",1.85186339329776,1.7023316593268,-0.149531733970964
"257",49,19.2,"female","exp_first","social","reach",2.85683893778808,1.63716246044896,-1.21967647733913
"258",51,22.8,"female","unexp_first","physical","containment",2.47148362945586,2.98163334917449,0.51014971971863
"259",51,22.8,"female","unexp_first","physical","continuity",2.98430357773037,2.65324196460721,-0.331061613123153
"260",51,22.8,"female","unexp_first","physical","solidity",3.02662529880867,3.09828886187908,0.0716635630704108
"261",51,22.8,"female","unexp_first","physical","support",3.23632273847192,3.20761263258949,-0.0287101058824315
"262",51,22.8,"female","unexp_first","social","drink",3.05910188748658,3.40119738166216,0.342095494175575
"263",51,22.8,"female","unexp_first","social","fairness",2.99129767648613,3.40119738166216,0.40989970517603
"264",51,22.8,"female","unexp_first","social","reach",2.79014756328941,3.00373231622107,0.213584752931657
"265",51,22.8,"female","unexp_first","social","snack",3.31200180285768,3.40119738166216,0.0891955788044712
"266",52,20,"male","unexp_first","physical","containment",2.03339760317843,2.89259151463448,0.859193911456049
"267",52,20,"male","unexp_first","physical","continuity",2.11167057247726,2.51122395810537,0.399553385628115
"268",52,20,"male","unexp_first","physical","solidity",2.7714198150348,2.71601837075139,-0.0554014442834125
"269",52,20,"male","unexp_first","physical","support",2.79728133483015,3.1072736482869,0.309992313456746
"270",52,20,"male","unexp_first","social","fairness",2.4767614733236,2.88840325332349,0.411641779999893
"271",52,20,"male","unexp_first","social","reach",2.3132234911991,2.44461441228896,0.131390921089857
"272",52,20,"male","unexp_first","social","snack",2.7239235502585,3.01490641469546,0.290982864436959
"273",53,23.4,"male","unexp_first","physical","continuity",2.58591277906474,3.09104245335832,0.505129674293575
"274",53,23.4,"male","unexp_first","physical","solidity",2.72262965086537,3.23001356927866,0.507383918413289
"275",53,23.4,"male","unexp_first","social","drink",3.26556574960213,3.32605773707606,0.0604919874739296
"276",53,23.4,"male","unexp_first","social","fairness",2.96882482063407,3.06825871762225,0.0994338969881872
"277",53,23.4,"male","unexp_first","social","reach",2.36729071246938,2.97749468600421,0.610203973534833
"278",53,23.4,"male","unexp_first","social","snack",2.31451366385932,3.16088458179652,0.846370917937203
"279",54,20.9,"female","exp_first","physical","continuity",3.2358433581249,2.77008559202166,-0.465757766103241
"280",54,20.9,"female","exp_first","physical","solidity",2.94155378663687,3.04261585945284,0.101062072815973
"281",54,20.9,"female","exp_first","physical","support",2.54317555791198,1.88706964903238,-0.656105908879596
"282",54,20.9,"female","exp_first","social","drink",2.66578078663321,3.03837566462428,0.372594877991068
"283",54,20.9,"female","exp_first","social","fairness",3.40119738166216,3.2485205414532,-0.152676840208958
"284",54,20.9,"female","exp_first","social","reach",3.12767483781401,2.46188599879762,-0.665788839016389
"285",54,20.9,"female","exp_first","social","snack",3.35620001573142,3.2986514741879,-0.0575485415435195
"286",55,18.4,"male","exp_first","physical","containment",3.04832472367316,2.77258872223978,-0.27573600143338
"287",55,18.4,"male","exp_first","physical","continuity",2.73963177315251,2.65605490598383,-0.083576867168679
"288",55,18.4,"male","exp_first","physical","solidity",2.92234295037119,2.57413778351594,-0.348205166855248
"289",55,18.4,"male","exp_first","physical","support",2.8142103969306,2.94864066602014,0.13443026908954
"290",55,18.4,"male","exp_first","social","drink",3.1625809350447,3.26344414434808,0.100863209303376
"291",55,18.4,"male","exp_first","social","reach",3.03183727819611,3.21967871531679,0.187841437120684
"292",55,18.4,"male","exp_first","social","snack",2.98365969231972,2.78387327610609,-0.199786416213636
"293",56,15.4,"male","unexp_first","physical","containment",1.75785791755237,2.53369681395743,0.775838896405058
"294",56,15.4,"male","unexp_first","physical","continuity",2.67267236202056,2.89701630061483,0.224343938594274
"295",56,15.4,"male","unexp_first","physical","solidity",1.81941100055857,2.73954886816158,0.920137867603016
"296",56,15.4,"male","unexp_first","social","drink",3.14203226681731,3.26190449816248,0.119872231345171
"297",56,15.4,"male","unexp_first","social","fairness",3.36821088266585,3.2872785517526,-0.0809323309132477
